"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"PIG1","Between_Groups",1,92.7201575078112,92.7201575078112,22.2497776101806,0.00919217466381046
"PIG1","Within_Groups",4,16.6689589680008,4.16723974200021,NA,NA
"PIG2","Between_Groups",1,4899.25571612878,4899.25571612878,116.015670413227,0.000421274418130679
"PIG2","Within_Groups",4,168.917033317258,42.2292583293144,NA,NA
"PIH1","Between_Groups",1,13.0027390188658,13.0027390188658,8.82084256134432,0.0411446880873496
"PIH1","Within_Groups",4,5.89637052398958,1.47409263099739,NA,NA
"PIK1","Between_Groups",1,3.28957719695259,3.28957719695259,3.49679022524742,0.134835687425207
"PIK1","Within_Groups",4,3.76296773332444,0.94074193333111,NA,NA
"PIL1","Between_Groups",1,86516.7648126517,86516.7648126517,163.597742659777,0.000215329268279616
"PIL1","Within_Groups",4,2115.35351053284,528.83837763321,NA,NA
"PIM1","Between_Groups",1,180.390359360696,180.390359360696,153.329372828439,0.000244483619035446
"PIM1","Within_Groups",4,4.70595701353413,1.17648925338353,NA,NA
"PIN2","Between_Groups",1,1.00232849134266,1.00232849134266,0.592637021757369,0.484343649684036
"PIN2","Within_Groups",4,6.76521010024259,1.69130252506065,NA,NA
"PIN3","Between_Groups",1,318.615943186025,318.615943186025,22.3677838658238,0.00910772436435508
"PIN3","Within_Groups",4,56.9776505526495,14.2444126381624,NA,NA
"PIN4","Between_Groups",1,4.61884740525951,4.61884740525951,2.50287755955579,0.188801082914761
"PIN4","Within_Groups",4,7.38165938261759,1.8454148456544,NA,NA
"PIP2","Between_Groups",1,2.00219956311674,2.00219956311674,1.77682453398934,0.253395150202617
"PIP2","Within_Groups",4,4.50736586492621,1.12684146623155,NA,NA
"PIR1","Between_Groups",1,20433.6345066936,20433.6345066936,8.95638054571689,0.0402298633727206
"PIR1","Within_Groups",4,9125.84471032344,2281.46117758086,NA,NA
"PIR3","Between_Groups",1,820328.222722925,820328.222722925,440.574092637288,3.04487953290771e-05
"PIR3","Within_Groups",4,7447.81172049785,1861.95293012446,NA,NA
"PIS1","Between_Groups",1,3202.53458832498,3202.53458832498,153.443650467913,0.000244127307188012
"PIS1","Within_Groups",4,83.4843169739287,20.8710792434822,NA,NA
"PKC1","Between_Groups",1,228.569736768128,228.569736768128,357.14333940382,4.61745329440409e-05
"PKC1","Within_Groups",4,2.55997759498671,0.639994398746677,NA,NA
"PKH1","Between_Groups",1,3.25918883006986,3.25918883006986,0.471842954621618,0.529892810979885
"PKH1","Within_Groups",4,27.6294372790496,6.9073593197624,NA,NA
"PKH2","Between_Groups",1,20.6050549791428,20.6050549791428,96.0022711598376,0.000608157129503872
"PKH2","Within_Groups",4,0.858523646584847,0.214630911646212,NA,NA
"PKH3","Between_Groups",1,0.822829117426492,0.822829117426492,1.09848570610999,0.353749178610112
"PKH3","Within_Groups",4,2.99623058488521,0.749057646221301,NA,NA
"PKP1","Between_Groups",1,397.725587903082,397.725587903082,40.5310990157453,0.00312115482262504
"PKP1","Within_Groups",4,39.2513993019114,9.81284982547786,NA,NA
"PKP2","Between_Groups",1,1546.22759291602,1546.22759291602,203.566740561891,0.000140167389542134
"PKP2","Within_Groups",4,30.3827155388562,7.59567888471406,NA,NA
"PKR1","Between_Groups",1,4280.20055755929,4280.20055755929,440.576104672224,3.04485193069133e-05
"PKR1","Within_Groups",4,38.8600335984507,9.71500839961267,NA,NA
"PLB1","Between_Groups",1,1458.1871926934,1458.1871926934,629.498316724385,1.49822375501368e-05
"PLB1","Within_Groups",4,9.26570987691359,2.3164274692284,NA,NA
"PLB2","Between_Groups",1,217.094824300179,217.094824300179,1.34777355777278,0.310229343140853
"PLB2","Within_Groups",4,644.306524781306,161.076631195327,NA,NA
"PLB3","Between_Groups",1,85.7722445098355,85.7722445098355,42.653108098787,0.00283952096995213
"PLB3","Within_Groups",4,8.04370404249858,2.01092601062465,NA,NA
"PLC1","Between_Groups",1,0.12829097770386,0.12829097770386,0.285394370434018,0.621497248287255
"PLC1","Within_Groups",4,1.79808701214055,0.449521753035139,NA,NA
"PLM2","Between_Groups",1,1.41313189842804,1.41313189842804,90.207728429537,0.000685852417961888
"PLM2","Within_Groups",4,0.062661234154981,0.0156653085387452,NA,NA
"PLP1","Between_Groups",1,8.13495818875084,8.13495818875084,3.01067858291309,0.157733339915033
"PLP1","Within_Groups",4,10.8081390486786,2.70203476216965,NA,NA
"PLP2","Between_Groups",1,18.8150231890706,18.8150231890706,0.913993890705627,0.393195602339786
"PLP2","Within_Groups",4,82.3420085425076,20.5855021356269,NA,NA
"PMA1","Between_Groups",1,199335.824956154,199335.824956154,34.1420378287652,0.00427755545924146
"PMA1","Within_Groups",4,23353.7114516592,5838.42786291479,NA,NA
"PMA2","Between_Groups",1,2971.47458045001,2971.47458045001,137.634724287886,0.000301958053488324
"PMA2","Within_Groups",4,86.3582819182947,21.5895704795737,NA,NA
"PMC1","Between_Groups",1,469.767862799115,469.767862799115,394.846229462599,3.78440755959611e-05
"PMC1","Within_Groups",4,4.75899555569759,1.1897488889244,NA,NA
"PMD1","Between_Groups",1,0.0976000299824501,0.0976000299824501,0.571145188701203,0.491867701448479
